id, userId, characterId, episode
1, 1, 1, 1
2, 1, 1, 2
3, 1, 1, 3
4, 1, 1, 4
5, 1, 1, 5
6, 1, 1, 6
7, 1, 1, 7
8, 1, 1, 8
10, 1, 1, 9
11, 1, 1, 10
12, 1, 2, 1
13, 1, 2, 2
14, 1, 2, 3
15, 1, 2, 4
16, 1, 2, 5
17, 1, 2, 6
18, 1, 2, 7
19, 1, 2, 8
20, 1, 2, 9
21, 1, 2, 10
22, 1, 3, 1
23, 1, 3, 2
24, 1, 3, 3
25, 1, 3, 4
26, 1, 3, 5
27, 1, 3, 6
28, 1, 3, 7
29, 1, 3, 8
30, 1, 3, 9
31, 1, 3, 10
32, 1, 4, 1
33, 1, 4, 2
34, 1, 4, 3
35, 1, 4, 4
36, 1, 4, 5
37, 1, 4, 6
38, 1, 4, 7
39, 1, 4, 8
40, 1, 4, 9
41, 1, 4, 10
42, 1, 5, 1
43, 1, 5, 2
44, 1, 5, 3
45, 1, 5, 4
46, 1, 5, 5
47, 1, 5, 6
48, 1, 5, 7
49, 1, 5, 8
50, 1, 5, 9
51, 1, 5, 10
52, 1, 6, 1
53, 1, 6, 2
54, 1, 6, 3
55, 1, 6, 4
56, 1, 6, 5
57, 1, 6, 6
58, 1, 6, 7
59, 1, 6, 8
60, 1, 6, 9
61, 1, 6, 10
62, 2, 7, 1
63, 2, 7, 2
64, 2, 7, 3
65, 2, 7, 4
66, 2, 7, 5
67, 2, 7, 6
68, 2, 7, 7
69, 2, 7, 8
70, 2, 7, 9
71, 2, 7, 9
72, 2, 7, 10
73, 2, 8, 1
74, 2, 8, 2
75, 2, 8, 3
76, 2, 8, 4
77, 2, 8, 5
78, 2, 8, 6
79, 2, 8, 7
80, 2, 8, 8
81, 2, 8, 9
82, 2, 8, 10
83, 2, 9, 1
84, 2, 9, 2
85, 2, 9, 3
86, 2, 9, 4
87, 2, 9, 5
88, 2, 9, 6
89, 2, 9, 7
90, 2, 9, 8
91, 2, 9, 9
92, 2, 9, 10
93, 2, 10, 1
94, 2, 10, 2
95, 2, 10, 3
96, 2, 10, 4
97, 2, 10, 5
98, 2, 10, 6
99, 2, 10, 7
100, 2, 10, 8
101, 2, 10, 9
102, 2, 10, 10
103, 2, 11, 1
104, 2, 11, 2
105, 2, 11, 3
106, 2, 11, 4
107, 2, 11, 5
108, 2, 11, 6
109, 2, 11, 7
110, 2, 11, 8
111, 2, 11, 9
112, 2, 11, 10 
113, 2, 12, 1
114, 2, 12, 2
115, 2, 12, 3
116, 2, 12, 4
117, 2, 12, 5
118, 2, 12, 6
119, 2, 12, 7
120, 2, 12, 8
121, 2, 12, 9
122, 3, 13, 1
123, 3, 13, 2
124, 3, 13, 3
125, 3, 13, 4
126, 3, 13, 5
127, 3, 13, 6
128, 3, 13, 7
129, 3, 13, 8
130, 3, 13, 9
131, 3, 13, 9
132, 3, 13, 10
133, 3, 14, 1
134, 3, 14, 2
135, 3, 14, 3
136, 3, 14, 4
137, 3, 14, 5
138, 3, 14, 6
139, 3, 14, 7
140, 3, 14, 8
141, 3, 14, 9
142, 3, 14, 10
143, 3, 15, 1
144, 3, 15, 2
145, 3, 15, 3
146, 3, 15, 4
147, 3, 15, 5
148, 3, 15, 6
149, 3, 15, 7
150, 3, 15, 8
151, 3, 15, 9
152, 3, 15, 10
153, 3, 16, 1
154, 3, 16, 2
155, 3, 16, 3
156, 3, 16, 4
157, 3, 16, 5
158, 3, 16, 6
159, 3, 16, 7
160, 3, 16, 8
161, 3, 16, 9
162, 3, 16, 10
163, 3, 17, 1
164, 3, 17, 2
165, 3, 17, 3
166, 3, 17, 4
167, 3, 17, 5
168, 3, 17, 6
169, 3, 17, 7
170, 3, 17, 8
171, 3, 17, 9
172, 3, 17, 10 
173, 3, 18, 1
174, 3, 18, 2
175, 3, 18, 3
176, 3, 18, 4
177, 3, 18, 5
178, 3, 18, 6
179, 3, 18, 7
180, 3, 18, 8
181, 3, 18, 9
182, 3, 18, 10
183, 4, 19, 1
184, 4, 19, 2
185, 4, 19, 3
186, 4, 19, 4
187, 4, 19, 5
188, 4, 19, 6
189, 4, 19, 7
190, 4, 19, 8
191, 4, 19, 9
192, 4, 19, 9
193, 4, 19, 10
194, 4, 20, 1
195, 4, 20, 2
196, 4, 20, 3
197, 4, 20, 4
198, 4, 20, 5
199, 4, 20, 6
200, 4, 20, 7
201, 4, 20, 8
202, 4, 20, 9
203, 4, 20, 10
204, 4, 21, 1
205, 4, 21, 2
206, 4, 21, 3
207, 4, 21, 4
208, 4, 21, 5
209, 4, 21, 6
210, 4, 21, 7
211, 4, 21, 8
212, 4, 21, 9
213, 4, 21, 10
214, 4, 22, 1
215, 4, 22, 2
216, 4, 22, 3
217, 4, 22, 4
218, 4, 22, 5
219, 4, 22, 6
220, 4, 22, 7
221, 4, 22, 8
222, 4, 22, 9
223, 4, 22, 10
224, 4, 23, 1
225, 4, 23, 2
226, 4, 23, 3
227, 4, 23, 4
228, 4, 23, 5
229, 4, 23, 6
230, 4, 23, 7
231, 4, 23, 8
232, 4, 23, 9
233, 4, 23, 10 
234, 4, 24, 1
235, 4, 24, 2
236, 4, 24, 3
237, 4, 24, 4
238, 4, 24, 5
239, 4, 24, 6
240, 4, 24, 7
241, 4, 24, 8
242, 4, 24, 9
243, 4, 24, 10
244, 2, 12, 10
